0	0.000046
0	0.000046
1	0.000048
2	0.000063
3	0.000073
4	0.000065
5	0.000069
6	0.000066
7	0.000069
8	0.000067
9	0.000364
10	0.000082
11	0.000075
12	0.000081
13	0.000090
14	0.000106
15	0.000131
16	0.000172
17	0.000326
18	0.000390
19	0.000559
20	0.000852
21	0.001896
22	0.002368
23	0.003428
24	0.005775
25	0.011374
26	0.015267
27	0.023050
28	0.036941
29	0.062797
30	0.094665
31	0.158392
32	0.267889
33	0.411639
34	0.659794
35	1.088038
36	1.768222
37	2.834889
38	4.701896
39	7.886384
40	12.710017
41	21.260412
42	36.276484
43	55.215965
44	92.200370
45	143.047893
46	233.967293
