0	0.000044
1	0.000060
2	0.000058
3	0.000068
4	0.000062
5	0.000063
6	0.000063
7	0.000063
8	0.000081
9	0.000072
10	0.000059
11	0.000064
12	0.000066
13	0.000068
14	0.000062
15	0.000095
16	0.000063
17	0.000067
18	0.000062
19	0.000073
20	0.000060
21	0.000064
22	0.000069
23	0.000094
24	0.000060
25	0.000068
26	0.000062
27	0.000063
28	0.000067
29	0.000066
30	0.000059
31	0.000063
32	0.000068
33	0.000067
34	0.000062
35	0.000065
36	0.000288
37	0.000063
38	0.000064
39	0.000062
40	0.000063
41	0.000063
42	0.000064
43	0.000065
44	0.000063
45	0.000064
46	0.000060
